"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"1","gentlemanstore","db/changelog/migrations/V1__create_users_tables.xml","2026-07-14T15:38:45.559","1","EXECUTED","9:2c9a808d0d20dc7c799fb1f9f5039f61","createTable tableName=roles","","","4.29.2","()","","4036325374"
"2","gentlemanstore","db/changelog/migrations/V1__create_users_tables.xml","2026-07-14T15:38:45.578","2","EXECUTED","9:1da6bb72276aabdccd1700e94e7fa34b","createTable tableName=users","","","4.29.2","()","","4036325374"
"3","gentlemanstore","db/changelog/migrations/V1__create_users_tables.xml","2026-07-14T15:38:45.59","3","EXECUTED","9:30ed8e1d74c7bea3f20504cffa6f9d40","createTable tableName=user_roles; addPrimaryKey constraintName=pk_user_roles, tableName=user_roles; addForeignKeyConstraint baseTableName=user_roles, constraintName=fk_user_roles_user, referencedTableName=users; addForeignKeyConstraint baseTableName=us...","","","4.29.2","()","","4036325374"
"4","gentlemanstore","db/changelog/migrations/V1__create_users_tables.xml","2026-07-14T15:38:45.602","4","EXECUTED","9:9cf91260fbaeb55303b8c3d675ded75b","createTable tableName=addresses; addForeignKeyConstraint baseTableName=addresses, constraintName=fk_addresses_user, referencedTableName=users","","","4.29.2","()","","4036325374"
"5","gentlemanstore","db/changelog/migrations/V2__insert_roles.xml","2026-07-14T15:38:45.613","5","EXECUTED","9:c05056581d46c399746d6070a5a743dd","insert tableName=roles; insert tableName=roles; insert tableName=roles; insert tableName=roles","","","4.29.2","()","","4036325374"
"6","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.625","6","EXECUTED","9:827968ccac6b7742e965afc3c8331a2a","createTable tableName=categories","","","4.29.2","()","","4036325374"
"7","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.636","7","EXECUTED","9:4bccac9e9e814d57d333b5241b8952e0","createTable tableName=products; addForeignKeyConstraint baseTableName=products, constraintName=fk_products_category, referencedTableName=categories","","","4.29.2","()","","4036325374"
"8","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.647","8","EXECUTED","9:c03db7479aa00457e10eb83a706834aa","createTable tableName=sizes; addForeignKeyConstraint baseTableName=sizes, constraintName=fk_sizes_product, referencedTableName=products","","","4.29.2","()","","4036325374"
"9","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.659","9","EXECUTED","9:d6af85fb7042e8e7568e4d88c3e48dcd","createTable tableName=images; addForeignKeyConstraint baseTableName=images, constraintName=fk_images_product, referencedTableName=products","","","4.29.2","()","","4036325374"
"10","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.671","10","EXECUTED","9:f28e6d775683f8703755814a64ccaa2a","createTable tableName=tags","","","4.29.2","()","","4036325374"
"11","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.682","11","EXECUTED","9:c76c9fe6f43745f85b763a422c9df3b1","createTable tableName=product_tags; addPrimaryKey constraintName=pk_product_tags, tableName=product_tags; addForeignKeyConstraint baseTableName=product_tags, constraintName=fk_product_tags_product, referencedTableName=products; addForeignKeyConstraint ...","","","4.29.2","()","","4036325374"
"12","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.695","12","EXECUTED","9:f07b080ecc1309457fc203be073d2ce7","createTable tableName=outfits","","","4.29.2","()","","4036325374"
"13","gentlemanstore","db/changelog/migrations/V3__create_product_tables.xml","2026-07-14T15:38:45.705","13","EXECUTED","9:df4731225c62caa600507999d8af57e3","createTable tableName=outfit_items; addForeignKeyConstraint baseTableName=outfit_items, constraintName=fk_outfit_items_product, referencedTableName=products; addForeignKeyConstraint baseTableName=outfit_items, constraintName=fk_outfit_items_outfit, ref...","","","4.29.2","()","","4036325374"
"14","gentlemanstore","db/changelog/migrations/V4__create_order_tables.xml","2026-07-14T15:38:45.718","14","EXECUTED","9:c166fa2bbcd9a1b55652f27a7d978542","createTable tableName=orders; addForeignKeyConstraint baseTableName=orders, constraintName=fk_orders_user, referencedTableName=users","","","4.29.2","()","","4036325374"
"15","gentlemanstore","db/changelog/migrations/V4__create_order_tables.xml","2026-07-14T15:38:45.731","15","EXECUTED","9:2cf9a3d5a608ac1b6e7896f2fa6543fb","createTable tableName=order_items; addForeignKeyConstraint baseTableName=order_items, constraintName=fk_order_items_order, referencedTableName=orders; addForeignKeyConstraint baseTableName=order_items, constraintName=fk_order_items_product, referencedT...","","","4.29.2","()","","4036325374"
"16","gentlemanstore","db/changelog/migrations/V4__create_order_tables.xml","2026-07-14T15:38:45.744","16","EXECUTED","9:e8adff5de18a6ea89ae58a5c6b278666","createTable tableName=shipments; addForeignKeyConstraint baseTableName=shipments, constraintName=fk_shipments_order, referencedTableName=orders","","","4.29.2","()","","4036325374"
"17","gentlemanstore","db/changelog/migrations/V5__create_inventory_tables.xml","2026-07-14T15:38:45.756","17","EXECUTED","9:32ef87183cd8e280b349bcf7ba4626c1","createTable tableName=inventory; addForeignKeyConstraint baseTableName=inventory, constraintName=fk_inventory_product_size, referencedTableName=sizes","","","4.29.2","()","","4036325374"
"18","gentlemanstore","db/changelog/migrations/V5__create_inventory_tables.xml","2026-07-14T15:38:45.768","18","EXECUTED","9:2c60bac25a5f48b2c6370127221e7f48","createTable tableName=stock_alerts; addForeignKeyConstraint baseTableName=stock_alerts, constraintName=fk_stock_alerts_inventory, referencedTableName=inventory","","","4.29.2","()","","4036325374"
"19","gentlemanstore","db/changelog/migrations/V6__create_loyalty_tables.xml","2026-07-14T15:38:45.779","19","EXECUTED","9:03ab95409d21943cc01318fdc4d88773","createTable tableName=loyalty_tiers","","","4.29.2","()","","4036325374"
"20","gentlemanstore","db/changelog/migrations/V6__create_loyalty_tables.xml","2026-07-14T15:38:45.792","20","EXECUTED","9:4bfc3ee725e264fc202be07bb97f005b","createTable tableName=loyalty_accounts; addForeignKeyConstraint baseTableName=loyalty_accounts, constraintName=fk_loyalty_accounts_user, referencedTableName=users; addForeignKeyConstraint baseTableName=loyalty_accounts, constraintName=fk_loyalty_accoun...","","","4.29.2","()","","4036325374"
"21","gentlemanstore","db/changelog/migrations/V6__create_loyalty_tables.xml","2026-07-14T15:38:45.802","21","EXECUTED","9:b455971b53edce187db4e0986851da71","createTable tableName=loyalty_transactions; addForeignKeyConstraint baseTableName=loyalty_transactions, constraintName=fk_loyalty_transactions_account, referencedTableName=loyalty_accounts","","","4.29.2","()","","4036325374"
"22","gentlemanstore","db/changelog/migrations/V6__create_loyalty_tables.xml","2026-07-14T15:38:45.815","22","EXECUTED","9:1991112173f57b7bb1d3f05424a4d2d3","createTable tableName=points_rules","","","4.29.2","()","","4036325374"
"23","gentlemanstore","db/changelog/migrations/V6__create_loyalty_tables.xml","2026-07-14T15:38:45.828","23","EXECUTED","9:9edab3e8f3819b2b6216255fc142df7a","insert tableName=loyalty_tiers; insert tableName=loyalty_tiers; insert tableName=loyalty_tiers; insert tableName=loyalty_tiers","","","4.29.2","()","","4036325374"
"24","gentlemanstore","db/changelog/migrations/V7__create_discount_tables.xml","2026-07-14T15:38:45.839","24","EXECUTED","9:e98e6bf3a0a9491b67a4f6aaa4c8e51b","createTable tableName=discounts","","","4.29.2","()","","4036325374"
"25","gentlemanstore","db/changelog/migrations/V7__create_discount_tables.xml","2026-07-14T15:38:45.853","25","EXECUTED","9:6a7e5b615056dc1b615d0680743a9d33","createTable tableName=promotions; addForeignKeyConstraint baseTableName=promotions, constraintName=fk_promotions_discount, referencedTableName=discounts","","","4.29.2","()","","4036325374"
